Sample in Buffer,Sample in Window,TRIGGER,fircomp_bd_i/system_ila_0/inst/probe0_1[17:0],fircomp_bd_i/system_ila_0/inst/probe1_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED
368,368,0,32,472
369,369,0,32,-105
370,370,0,32,-299
371,371,0,32,-380
372,372,0,32,-113
373,373,0,46,699
374,374,0,46,145
375,375,0,46,236
376,376,0,46,-299
377,377,0,46,-314
378,378,0,46,-587
379,379,0,46,-43
380,380,0,46,393
381,381,0,46,-537
382,382,0,46,133
383,383,0,43,418
384,384,0,43,155
385,385,0,43,444
386,386,0,43,421
387,387,0,43,440
388,388,0,43,985
389,389,0,43,-114
390,390,0,43,-794
391,391,0,43,-324
392,392,0,43,-554
393,393,0,22,232
394,394,0,22,132
395,395,0,22,473
396,396,0,22,-349
397,397,0,22,956
398,398,0,22,242
399,399,0,22,392
400,400,0,22,-519
401,401,0,22,-612
402,402,0,22,-579
403,403,0,-8,-374
404,404,0,-8,-307
405,405,0,-8,-540
406,406,0,-8,-384
407,407,0,-8,-336
408,408,0,-8,179
409,409,0,-8,-381
410,410,0,-8,-44
411,411,0,-8,-342
412,412,0,-8,178
413,413,0,-34,-92
414,414,0,-34,641
415,415,0,-34,694
416,416,0,-34,-601
417,417,0,-34,433
418,418,0,-34,666
419,419,0,-34,425
420,420,0,-34,424
421,421,0,-34,-17
422,422,0,-34,-274
423,423,0,-46,-81
424,424,0,-46,925
425,425,0,-46,130
426,426,0,-46,-572
427,427,0,-46,-582
428,428,0,-46,-802
429,429,0,-46,-370
430,430,0,-46,-290
431,431,0,-46,-571
432,432,0,-46,-96
433,433,0,-40,403
434,434,0,-40,-789
435,435,0,-40,473
436,436,0,-40,250
437,437,0,-40,-583
438,438,0,-40,-378
439,439,0,-40,-569
440,440,0,-40,462
441,441,0,-40,-6
442,442,0,-40,150
443,443,0,-18,-3
444,444,0,-18,198
445,445,0,-18,-266
446,446,0,-18,477
447,447,0,-18,480
448,448,0,-18,729
449,449,0,-18,215
450,450,0,-18,-88
451,451,0,-18,204
452,452,0,-18,241
453,453,0,12,392
454,454,0,12,-123
455,455,0,12,-267
456,456,0,12,-99
457,457,0,12,-835
458,458,0,12,160
459,459,0,12,174
460,460,0,12,-49
461,461,0,12,439
462,462,0,12,-22
463,463,0,36,-519
464,464,0,36,666
465,465,0,36,-27
466,466,0,36,-38
467,467,0,36,687
468,468,0,36,153
469,469,0,36,-536
470,470,0,36,-532
471,471,0,36,-305
472,472,0,36,931
473,473,0,46,175
474,474,0,46,-523
475,475,0,46,-513
476,476,0,46,-589
477,477,0,46,490
478,478,0,46,-104
479,479,0,46,482
480,480,0,46,245
481,481,0,46,446
482,482,0,46,-308
483,483,0,37,-127
484,484,0,37,134
485,485,0,37,-61
486,486,0,37,-40
487,487,0,37,140
488,488,0,37,502
489,489,0,37,168
490,490,0,37,688
491,491,0,37,167
492,492,0,37,460
493,493,0,14,695
494,494,0,14,-342
495,495,0,14,145
496,496,0,14,-299
497,497,0,14,-105
498,498,0,14,-373
499,499,0,14,-556
500,500,0,14,-105
501,501,0,14,-290
502,502,0,14,216
503,503,0,-16,-108
504,504,0,-16,491
505,505,0,-16,-620
506,506,0,-16,184
507,507,0,-16,-297
508,508,0,-16,411
509,509,0,-16,194
510,510,0,-16,141
511,511,0,-16,-110
512,512,0,-16,456
513,513,0,-38,-75
514,514,0,-38,-88
515,515,0,-38,453
516,516,0,-38,-357
517,517,0,-38,-45
518,518,0,-38,-267
519,519,0,-38,-330
520,520,0,-38,-258
521,521,0,-38,-774
522,522,0,-38,466
523,523,0,-45,-23
524,524,0,-45,197
525,525,0,-45,-292
526,526,0,-45,947
527,527,0,-45,-312
528,528,0,-45,-123
529,529,0,-45,158
530,530,0,-45,-375
531,531,0,-45,-333
532,532,0,-45,-75
533,533,0,-34,-356
534,534,0,-34,387
535,535,0,-34,161
536,536,0,-34,-612
537,537,0,-34,697
538,538,0,-34,242
539,539,0,-34,-121
540,540,0,-34,385
541,541,0,-34,187
542,542,0,-34,155
543,543,0,-9,-371
544,544,0,-9,385
545,545,0,-9,-798
546,546,0,-9,-284
